"Cohort","Replication","KNN","LR","MLP"
"TCGA-BRCA","46","0.492702448210923","0.592121782799749","0.492467043314501"
"TCGA-BRCA","47","0.503531073446328","0.5","0.376647834274953"
"TCGA-BRCA","48","0.572033898305085","0.666666666666667","0.448524795982423"
"TCGA-BRCA","49","0.526600753295669","0.700878844946641","0.561833019460138"
"TCGA-BRCA","50","0.53695856873823","0.622410546139359","0.567482736974262"
"TCGA-BRCA","51","0.520715630885122","0.664783427495291","0.46563088512241"
"TCGA-BRCA","52","0.509416195856874","0.65473948524796","0.593691148775894"
"TCGA-BRCA","53","0.550847457627119","0.566070307595731","0.617074701820464"
"TCGA-BRCA","54","0.561676082862524","0.675612052730697","0.399403640929065"
"TCGA-BRCA","55","0.576035781544256","0.5","0.510828625235405"
"TCGA-BRCA","56","0.519774011299435","0.62241054613936","0.440050219711236"
"TCGA-BRCA","57","0.573446327683616","0.602793471437539","0.625235404896421"
"TCGA-BRCA","58","0.529896421845574","0.654268675455116","0.481952291274325"
"TCGA-BRCA","59","0.559322033898305","0.646892655367231","0.680790960451977"
"TCGA-BRCA","60","0.546374764595104","0.696955430006277","0.591023226616447"
"TCGA-BRCA","61","0.492702448210923","0.63826114249843","0.494821092278719"
"TCGA-BRCA","62","0.496468926553672","0.583961079723791","0.576741996233521"
"TCGA-BRCA","63","0.570386064030132","0.659290646578782","0.541431261770244"
"TCGA-BRCA","64","0.575800376647834","0.658505963590709","0.55194601381042"
"TCGA-BRCA","65","0.478107344632768","0.650345260514752","0.633553044569994"
"TCGA-BRCA","66","0.551553672316384","0.622567482736974","0.561676082862523"
"TCGA-BRCA","67","0.545197740112994","0.601851851851852","0.511613308223478"
"TCGA-BRCA","68","0.520009416195857","0.544883866917765","0.61142498430634"
"TCGA-BRCA","69","0.548022598870056","0.64752040175769","0.518047708725675"
"TCGA-BRCA","70","0.485640301318267","0.596045197740113","0.495291902071563"
"TCGA-BRCA","71","0.482815442561205","0.660860012554928","0.61864406779661"
"TCGA-BRCA","72","0.536723163841808","0.672473320778406","0.474733207784055"
"TCGA-BRCA","73","0.592514124293785","0.649717514124294","0.529974890144381"
"TCGA-BRCA","74","0.475517890772128","0.583490269930948","0.552573760200879"
"TCGA-BRCA","75","0.570386064030132","0.529974890144381","0.561519146264909"
"TCGA-BRCA","76","0.512005649717514","0.602322661644695","0.55743879472693"
"TCGA-BRCA","77","0.499529190207156","0.646578782172002","0.475047080979284"
"TCGA-BRCA","78","0.517419962335217","0.60075329566855","0.513810420590082"
"TCGA-BRCA","79","0.56756120527307","0.659761456371626","0.437225360954174"
"TCGA-BRCA","80","0.5484934086629","0.594005021971123","0.451349654739485"
"TCGA-BRCA","81","0.592749529190207","0.621625863151287","0.527620841180163"
"TCGA-BRCA","82","0.574387947269303","0.584431889516635","0.515536723163842"
"TCGA-BRCA","83","0.548022598870056","0.581136220966729","0.636848713119899"
"TCGA-BRCA","84","0.52424670433145","0.634180790960452","0.54676710608914"
"TCGA-BRCA","85","0.450564971751412","0.594789704959196","0.52338355304457"
"TCGA-BRCA","86","0.509887005649718","0.653170119271814","0.570307595731324"
"TCGA-BRCA","87","0.498116760828625","0.637633396107972","0.642498430634023"
"TCGA-BRCA","88","0.525894538606403","0.566227244193346","0.574387947269303"
"TCGA-BRCA","89","0.512947269303201","0.655994978028877","0.576114249843063"
"TCGA-BRCA","90","0.519067796610169","0.632925298179535","0.568738229755179"
"TCGA-BRCA","91","0.459274952919021","0.5969868173258","0.580351537978656"
"TCGA-BRCA","92","0.505885122410546","0.556811048336472","0.511927181418707"
"TCGA-BRCA","93","0.517655367231638","0.618801004394225","0.58600125549278"
"TCGA-BRCA","94","0.542843691148776","0.670119271814187","0.512084118016321"
"TCGA-BRCA","95","0.522834274952919","0.567953546767106","0.489956057752668"
"TCGA-BRCA","96","0.513182674199623","0.599654739485248","0.432203389830508"
"TCGA-BRCA","97","0.479755178907721","0.63480853735091","0.516635279347143"
"TCGA-BRCA","98","0.570386064030132","0.666823603264281","0.576114249843063"
"TCGA-BRCA","99","0.475988700564972","0.58458882611425","0.568738229755179"
"TCGA-BRCA","100","0.537193973634651","0.662115505335844","0.580351537978656"
"TCGA-COAD","1","0.5","0.680365296803653","0.764383561643835"
"TCGA-COAD","2","0.533333333333333","0.522374429223744","0.46027397260274"
"TCGA-COAD","3","0.5","0.785388127853881","0.587214611872146"
"TCGA-COAD","4","0.5","0.668493150684931","0.560730593607306"
"TCGA-COAD","5","0.5","0.5","0.447488584474886"
"TCGA-COAD","6","0.5","0.763470319634703","0.600913242009132"
"TCGA-COAD","7","0.5","0.581735159817352","0.42648401826484"
"TCGA-COAD","8","0.5","0.6337899543379","0.617351598173516"
"TCGA-COAD","9","0.5","0.607305936073059","0.673059360730594"
"TCGA-COAD","10","0.493150684931507","0.5","0.609132420091324"
"TCGA-COAD","11","0.5","0.707762557077626","0.688584474885845"
"TCGA-COAD","12","0.493150684931507","0.680365296803653","0.640182648401827"
"TCGA-COAD","13","0.5","0.632876712328767","0.628310502283105"
"TCGA-COAD","14","0.5","0.717808219178082","0.711415525114155"
"TCGA-COAD","15","0.5","0.57351598173516","0.575342465753425"
"TCGA-COAD","16","0.5","0.606392694063927","0.378995433789954"
"TCGA-COAD","17","0.5","0.617351598173516","0.6"
"TCGA-COAD","18","0.5","0.755251141552511","0.588127853881279"
"TCGA-COAD","19","0.565753424657534","0.646575342465753","0.491324200913242"
"TCGA-COAD","20","0.5","0.649315068493151","0.517808219178082"
"TCGA-COAD","21","0.5","0.679452054794521","0.687671232876712"
"TCGA-COAD","22","0.5","0.5","0.553424657534247"
"TCGA-COAD","23","0.5","0.5","0.711415525114155"
"TCGA-COAD","24","0.533333333333333","0.750684931506849","0.536986301369863"
"TCGA-COAD","25","0.5","0.591780821917808","0.577168949771689"
"TCGA-COAD","26","0.5","0.724200913242009","0.63013698630137"
"TCGA-COAD","27","0.5","0.587214611872146","0.49041095890411"
"TCGA-COAD","28","0.5","0.589954337899543","0.4337899543379"
"TCGA-COAD","29","0.5","0.700456621004566","0.413698630136986"
"TCGA-COAD","30","0.5","0.572602739726027","0.618264840182648"
